Timestamp,Social_Impact,Gender,Age,Neighborhood,Occupation,MM_Usage_Duration,Heard_Scam,Victim,Nb_Times,Scam_Method,Other_Method,Amount_Lost_FCFA,Reported,Reported_To,Know_Detection,Info_Source,Need_Training,Suggestions
2025/05/29 7:34:17 AM UTC+1,Option 1,Male,25,Dang,Other,More than 3 years,Yes,Yes,1,,"I received simultaneous withdrawal messages in my account, So being efrained I wanted to check my balance to see then as soon as I enter the password, I received a message saying your withdrawal is successfully carried out.",20000,No,,No,Relatives / friends,Yes,
2025/05/29 8:09:19 AM UTC+1,Option 1,Male,22,Bini,Other,1 to 3 years,Yes,Yes,2,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,70000,Yes,A relative/friend,No,Relatives / friends;No awareness received,Yes,
2025/05/29 8:40:25 AM UTC+1,Option 1,Female,27,Bini,Other,1 to 3 years,Yes,Yes,1,Fake withdrawal or deposit message,Aucune,10000,No,Other,Yes,Mobile agent,Yes,Several relatives have been scammed
2025/05/29 8:42:00 AM UTC+1,Option 1,Male,26,Bini,Other,More than 3 years,Yes,Yes,,Nothing to report,,,,,Yes,Mobile agent;Relatives / friends,Yes,
2025/05/29 8:44:36 AM UTC+1,Option 1,Male,24,Bini,Other,1 to 3 years,Yes,Yes,2,False transaction of a customer,,75000,Yes,The police,Yes,Relatives / friends,Yes,
2025/05/29 8:45:57 AM UTC+1,Option 1,Female,30,Bini,Other,Less than 1 year,Yes,No,,,,,No,,No,No awareness received,Yes,
2025/05/29 8:46:02 AM UTC+1,Option 1,Male,18,Bini,Other,Less than 1 year,Yes,Yes,,Other,Par Facebook,3000,Yes,A relative/friend,Yes,Relatives / friends,Yes,
2025/05/29 8:51:56 AM UTC+1,Option 1,Male,30,Bini,Other,Less than 1 year,Yes,No,,Call from a stranger pretending to be an agent,,,No,,No,Relatives / friends,Yes,
2025/05/29 9:03:29 AM UTC+1,Option 1,Male,29,Bini,Other,More than 3 years,Yes,No,,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; Other,,,Yes,Mobile operator,No,Other,Yes,
2025/05/29 9:11:22 AM UTC+1,Option 1,Male,12,"Ngaoundéré, ville",Phone credit / money transfer,More than 3 years,Yes,No,,,,,No,,No,Mobile agent,Yes,
2025/05/29 9:21:53 AM UTC+1,Option 1,Male,26,Bini,Other,1 to 3 years,Yes,No,,Fake withdrawal or deposit message,,,No,,Yes,Relatives / friends;Other,Yes,
2025/05/29 9:22:09 AM UTC+1,Option 1,Male,20,"Ngaoundéré, ville",Other,1 to 3 years,Yes,No,0,Nothing to report,,,,,Yes,Relatives / friends;Other,Yes,
2025/05/29 9:29:18 AM UTC+1,Option 1,Male,25,"Ngaoundéré, ville",Other,More than 3 years,Yes,No,,,,,,,Yes,Relatives / friends,Yes,
2025/05/29 10:05:32 AM UTC+1,Option 1,Female,23,"Ngaoundéré, ville",Other,More than 3 years,Yes,Yes,2 fois,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message,,J’ai compris le jeu,Yes,A relative/friend,No,Relatives / friends,Yes,
2025/05/29 10:08:54 AM UTC+1,Option 1,Male,28,Bini,Phone credit / money transfer,More than 3 years,Yes,No,Aucun,Other; Nothing to report,,1000,Yes,A relative/friend,No,Mobile agent;Relatives / friends,Yes,A person called me by asking me to compound a code for me to receive my money offered by the agency because I am a customer
2025/05/29 11:54:42 AM UTC+1,Option 1,Male,25,Bini,clothing business,More than 3 years,Yes,Yes,More than 10 times,Call from a stranger pretending to be an agent; Fake withdrawal or deposit message; False transaction of a customer,,0F,Yes,A relative/friend,Yes,Mobile agent;Relatives / friends,Yes,Strengthen forgotten password settings because a loved one who has access to your phone can easily change your password and withdraw money
2025/05/29 12:08:57 PM UTC+1,Option 1,Male,23,Bini,Other,1 to 3 years,Yes,Yes,1,Call from a stranger pretending to be an agent,,50000,No,,Yes,Other,Yes,
